Timestamp,FilesAppended,FilesCreated,FilesRenamed,GetBlockLocations,GetListingOps,Transactions_avg_time,Transactions_num_ops,capp,category,csource,ctags
1307525432,0,11,0,69,2,0,30,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525442,0,12,0,206,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525452,0,12,0,284,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525462,0,12,0,365,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525472,0,12,0,437,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525482,0,12,0,506,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525492,0,12,0,566,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525502,0,12,0,627,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525512,0,12,0,661,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525522,0,12,0,687,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525532,0,12,0,717,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
1307525542,0,12,0,735,2,0,31,/mnt/DP_disk2/lyan/hadoop/logs/chukwa/metrics/chukwa-lyan-dfs-1307525352377.log,dfs.namenode,sr212, cluster="chukwa"
